"URL","Expected","Actual","Result"
"https://kamiaesthetics.com/","200","200","PASS"
"https://kamiaesthetics.com/services/laser-hair-removal","200","200","PASS"
"https://kamiaesthetics.com/services/ipl-photofacial","200","200","PASS"
"https://kamiaesthetics.com/services/resurfx","200","200","PASS"
"https://kamiaesthetics.com/services/botox","200","200","PASS"
"https://kamiaesthetics.com/services/dermal-fillers","200","200","PASS"
"https://kamiaesthetics.com/services/prp-therapy","200","200","PASS"
"https://kamiaesthetics.com/blog","200","200","PASS"
"https://kamiaesthetics.com/services/","301","308","PASS"
"https://kamiaesthetics.com/how-it-works/","301","301","PASS"
"https://kamiaesthetics.com/home-page/","301","301","PASS"
"https://kamiaesthetics.com/types-of-hair-removal/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/stomach/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/nail-fungus/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/legs/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/underarms/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/full-face/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/bikini/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/chest/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/buttocks/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/back/","301","301","PASS"
"https://kamiaesthetics.com/services_lazer/arms/","301","301","PASS"
"https://kamiaesthetics.com/ru/types-of-hair-removal-ru/","301","301","PASS"
"https://kamiaesthetics.com/ru/how-it-works-ru/","301","301","PASS"
"https://kamiaesthetics.com/ru/home-page-ru/","301","301","PASS"
"https://kamiaesthetics.com/ru/services-ru/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D1%81%D0%BF%D0%B8%D0%BD%D0%B0/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D1%8F%D0%B3%D0%BE%D0%B4%D0%B8%D1%86%D1%8B/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D1%80%D1%83%D0%BA%D0%B8/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D0%BF%D0%BE%D0%B4%D0%BC%D1%8B%D1%88%D0%BA%D0%B8/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D0%BD%D0%BE%D0%B3%D0%B8/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D0%B6%D0%B8%D0%B2%D0%BE%D1%82/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D0%B3%D1%80%D1%83%D0%B4%D1%8C/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D0%B3%D1%80%D0%B8%D0%B1%D0%BE%D0%BA-%D0%BD%D0%BE%D0%B3%D1%82%D0%B5%D0%B9/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D0%B2%D1%81%D0%B5-%D0%BB%D0%B8%D1%86%D0%BE/","301","301","PASS"
"https://kamiaesthetics.com/ru/services_lazer/%D0%B1%D0%B8%D0%BA%D0%B8%D0%BD%D0%B8/","301","301","PASS"
"https://kamiaesthetics.com/es/types-of-hair-removal-esp/","301","301","PASS"
"https://kamiaesthetics.com/es/home-page-esp/","301","301","PASS"
"https://kamiaesthetics.com/es/services-esp/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/rostro-completo/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/piernas/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/pecho/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/nalgas/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/hongos-en-las-unas/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/estomago/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/espalda/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/brazos/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/bikini-esp/","301","301","PASS"
"https://kamiaesthetics.com/es/services_lazer/axilas/","301","301","PASS"
